Segment,quantiles,Delay_type,Measure,Value,Axis
8,95%,Crash,Density,24,0
8,95%,Crash,Flow,1180,0
8,95%,None,Density,22,0
8,95%,None,Flow,1175,0
8,95%,Weather,Density,28,0
8,95%,Weather,Flow,1129,0
9,5%,Crash,Density,26,0
9,5%,Crash,Flow,1650,0
9,5%,None,Density,28,0
9,5%,None,Flow,1858,0
9,5%,Weather,Density,32,0
9,5%,Weather,Flow,1938,0
9,10%,Crash,Density,26,0
9,10%,Crash,Flow,1626,0
9,10%,None,Density,28,0
9,10%,None,Flow,1719,0
9,10%,Weather,Density,42,0
9,10%,Weather,Flow,1912,0
9,20%,Crash,Density,24,0
9,20%,Crash,Flow,1594,0
9,20%,None,Density,28,0
9,20%,None,Flow,1591,0
9,20%,Weather,Density,24,0
9,20%,Weather,Flow,1596,0
9,30%,Crash,Density,24,0
9,30%,Crash,Flow,1507,0
9,30%,None,Density,26,0
9,30%,None,Flow,1536,0
9,30%,Weather,Density,28,0
9,30%,Weather,Flow,1544,0
9,40%,Crash,Density,24,0
9,40%,Crash,Flow,1414,0
9,40%,None,Density,24,0
9,40%,None,Flow,1480,0
9,40%,Weather,Density,28,0
9,40%,Weather,Flow,1503,0
9,50%,Crash,Density,24,0
9,50%,Crash,Flow,1391,0
9,50%,None,Density,24,0
9,50%,None,Flow,1424,0
9,50%,Weather,Density,28,0
9,50%,Weather,Flow,1438,0
9,60%,Crash,Density,24,0
9,60%,Crash,Flow,1352,0
9,60%,None,Density,22,0
9,60%,None,Flow,1383,0
9,60%,Weather,Density,28,0
9,60%,Weather,Flow,1369,0
9,70%,Crash,Density,24,0
9,70%,Crash,Flow,1266,0
9,70%,None,Density,22,0
9,70%,None,Flow,1345,0
9,70%,Weather,Density,24,0
9,70%,Weather,Flow,1284,0
9,80%,Crash,Density,24,0
9,80%,Crash,Flow,1244,0
9,80%,None,Density,22,0
9,80%,None,Flow,1294,0
9,80%,Weather,Density,30,0
9,80%,Weather,Flow,1296,0
9,90%,Crash,Density,24,0
9,90%,Crash,Flow,1198,0
9,90%,None,Density,22,0
9,90%,None,Flow,1228,0
9,90%,Weather,Density,28,0
9,90%,Weather,Flow,1218,0
9,95%,Crash,Density,24,0
9,95%,Crash,Flow,1180,0
9,95%,None,Density,22,0
9,95%,None,Flow,1175,0
9,95%,Weather,Density,28,0
9,95%,Weather,Flow,1129,0
