Segment,quantiles,Delay_type,Measure,Value,
6,10%,Weather,Density,24,16
6,10%,Weather,Flow,1312,843
6,25%,Weather,Density,20,12
6,25%,Weather,Flow,1251,862
6,50%,Weather,Density,20,10
6,50%,Weather,Flow,1160,758
6,75%,Weather,Density,20,16
6,75%,Weather,Flow,1066,826
6,90%,Weather,Density,18,12
6,90%,Weather,Flow,961,829
6,95%,Weather,Density,18,10
6,95%,Weather,Flow,871,695
7,5%,Crash,Density,20,22
7,5%,Crash,Flow,1222,1357
7,5%,None,Density,20,26
7,5%,None,Flow,1372,1565
7,5%,Weather,Density,18,24
7,5%,Weather,Flow,1275,1507
7,10%,Crash,Density,18,22
7,10%,Crash,Flow,1188,1319
7,10%,None,Density,20,26
7,10%,None,Flow,1299,1507
7,10%,Weather,Density,18,24
7,10%,Weather,Flow,1255,1438
7,25%,Crash,Density,18,22
7,25%,Crash,Flow,1132,1281
7,25%,None,Density,18,24
7,25%,None,Flow,1216,1387
7,25%,Weather,Density,18,24
7,25%,Weather,Flow,1201,1364
7,50%,Crash,Density,18,22
7,50%,Crash,Flow,1078,1226
7,50%,None,Density,18,24
7,50%,None,Flow,1158,1324
7,50%,Weather,Density,18,22
7,50%,Weather,Flow,1123,1270
7,75%,Crash,Density,18,22
7,75%,Crash,Flow,1026,1179
7,75%,None,Density,18,24
7,75%,None,Flow,1098,1262
7,75%,Weather,Density,16,22
7,75%,Weather,Flow,1041,1194
7,90%,Crash,Density,22,22
7,90%,Crash,Flow,1005,1092
7,90%,None,Density,18,24
7,90%,None,Flow,1042,1195
7,90%,Weather,Density,14,20
7,90%,Weather,Flow,926,1077
7,95%,Crash,Density,22,22
7,95%,Crash,Flow,964,1039
7,95%,None,Density,16,22
7,95%,None,Flow,993,1141
7,95%,Weather,Density,16,20
7,95%,Weather,Flow,834,982
8,5%,Crash,Density,28,26
8,5%,Crash,Flow,1752,1692
8,5%,None,Density,32,28
8,5%,None,Flow,1866,1787
8,5%,Weather,Density,30,30
8,5%,Weather,Flow,1867,1804
8,10%,Crash,Density,28,26
8,10%,Crash,Flow,1744,1686
8,10%,None,Density,32,28
8,10%,None,Flow,1834,1761
8,10%,Weather,Density,30,28
8,10%,Weather,Flow,1836,1773
8,25%,Crash,Density,28,26
8,25%,Crash,Flow,1711,1633
8,25%,None,Density,30,28
8,25%,None,Flow,1768,1704
8,25%,Weather,Density,30,28
8,25%,Weather,Flow,1763,1685
8,50%,Crash,Density,26,24
8,50%,Crash,Flow,1561,1500
8,50%,None,Density,30,28
8,50%,None,Flow,1664,1601
8,50%,Weather,Density,28,26
8,50%,Weather,Flow,1616,1566
8,75%,Crash,Density,26,24
8,75%,Crash,Flow,1475,1418
8,75%,None,Density,30,26
8,75%,None,Flow,1579,1520
8,75%,Weather,Density,28,26
8,75%,Weather,Flow,1514,1459
8,90%,Crash,Density,26,24
8,90%,Crash,Flow,1406,1356
8,90%,None,Density,28,26
8,90%,None,Flow,1510,1450
8,90%,Weather,Density,26,24
8,90%,Weather,Flow,1380,1324
8,95%,Crash,Density,22,26
8,95%,Crash,Flow,1120,1141
8,95%,None,Density,28,26
8,95%,None,Flow,1443,1390
8,95%,Weather,Density,26,24
8,95%,Weather,Flow,1338,1290
9,5%,Crash,Density,30,28
9,5%,Crash,Flow,1840,1830
9,5%,None,Density,30,30
9,5%,None,Flow,1827,1851
9,5%,Weather,Density,28,28
9,5%,Weather,Flow,1817,1817
9,10%,Crash,Density,28,28
9,10%,Crash,Flow,1816,1816
9,10%,None,Density,30,30
9,10%,None,Flow,1829,1829
9,10%,Weather,Density,28,28
9,10%,Weather,Flow,1796,1796
9,25%,Crash,Density,28,28
9,25%,Crash,Flow,1770,1770
9,25%,None,Density,28,28
9,25%,None,Flow,1763,1763
9,25%,Weather,Density,28,28
9,25%,Weather,Flow,1752,1752
9,50%,Crash,Density,28,28
9,50%,Crash,Flow,1712,1712
9,50%,None,Density,28,28
9,50%,None,Flow,1710,1710
9,50%,Weather,Density,28,28
9,50%,Weather,Flow,1707,1707
9,75%,Crash,Density,28,28
9,75%,Crash,Flow,1456,1597
9,75%,None,Density,28,28
9,75%,None,Flow,1642,1642
9,75%,Weather,Density,28,28
9,75%,Weather,Flow,1596,1596
9,90%,Crash,Density,34,34
9,90%,Crash,Flow,1592,1592
9,90%,None,Density,26,28
9,90%,None,Flow,1545,1586
9,90%,Weather,Density,30,30
9,90%,Weather,Flow,1540,1540
9,95%,Crash,Density,34,34
9,95%,Crash,Flow,1586,1586
9,95%,None,Density,28,28
9,95%,None,Flow,1541,1541
9,95%,Weather,Density,30,30
9,95%,Weather,Flow,1493,1493
